X.1,X,Y,habitat_pt,elevation,pc_broad,pc_conif,pc_ag,pc_wet,pc_heath,pc_urban,patches,pc_igrass,pc_sgrass,d_rabbit,r_dens,d_water,d_building,fclass,all_mt_,presence,moran
27,53.10361482,-2.960367493,18,38.95,11.28649299,0.648764338,9.333511688,0,0,13.76450523,4,64.96672575,0,11599.69724450000,4.56E-06,161.6521968,0.004357608,trunk_link,48667,1,0.002273993
28,53.10271605,-2.960347468,1,38.95,11.61366313,0,14.79724045,0,0,7.686353693,5,58.34090527,0,3550.61081652000,2.86E-06,161.1966841,0.003568338,trunk_link,48667,1,0.006363918
29,53.21458286,-3.168176851,18,173.28,1.843995323,0.237180558,0.37748455,0,0.263905128,0.103557708,7,51.11408051,45.67228996,3793.12103397000,2.40E-06,157.028435,0.001818044,unclassified,48655,1,-0.00051166
30,51.86260483,-4.465915063,18,105.35,4.703524303,0.624686821,2.695840989,0,0,0.220477702,5,78.50008351,13.25538667,4721.34518300000,5.95E-06,20.69015113,0.020074224,unclassified,967,1,0.001625441
31,51.78879208,-2.745356268,12,68.75,7.468337466,4.06754674,4.506466528,0,0,12.10547477,6,71.35629565,0.170877169,5799.97074481000,4.61E-06,160.0579679,0.004922858,tertiary,24868,1,0.00013609
32,51.78613526,-2.769755102,12,70.6,16.56505777,0.495132877,6.544511435,0,0,12.40189969,6,62.02633972,0.42776786,2883.60255414000,3.61E-06,158.2661407,0.003562184,tertiary,24868,1,0
33,53.03368008,-3.045305717,18,165.81,10.01626545,0,0.631099545,0,0,14.14769031,5,70.74170462,4.157449577,1179.88819492000,6.40E-06,149.3040894,0.006337,unclassified,44996,1,0.001253804
34,51.9500769,-4.180384954,18,208.67,12.71329087,0.293739067,0.359747846,0,0,1.577609822,6,78.69566652,5.617347107,2792.96409004000,1.93E-06,39.64541419,0.03090416,tertiary,7267,1,0.001906724
35,51.84677218,-3.159847133,18,204.42,8.095428229,8.478072802,35.74898516,0,0,8.780861117,5,38.73028549,0,6067.43100256000,5.13E-06,128.0181711,0.001691297,tertiary,2701,1,9.89E-05
36,53.24127539,-4.331210955,18,23.57,16.52600787,0,13.1232978,0,0,4.744292391,4,65.2668034,0,1817.08297420000,2.19E-06,98.09705476,0.005570278,trunk,13042,1,0.001188384
37,51.7617063,-3.522818992,18,255.62,30.50011819,11.6705501,7.881673589,0,0.145206497,11.17414649,7,30.8546922,2.694762435,4016.77033616000,5.13E-06,90.36887076,0.001020353,unclassified,4198,1,3.44E-05
38,51.46510574,-3.440941089,18,49.49,7.688806528,1.430475633,19.11960727,0,0,18.97981079,7,44.85191326,6.30709711,3761.11707797000,2.34E-06,107.7475325,0.003614971,primary,7139,1,2.56E-05
39,52.58702316,-3.901127986,18,70.56,9.889608909,0.14979322,1.826826012,0,0.657787619,1.764954899,6,77.6026572,8.108372138,5294.00385346000,2.34E-06,73.55177963,0.012887642,primary,5590,1,0.88192955
40,52.58702316,-3.901127986,18,70.56,3.524676115,0,37.69915097,0,0,4.941988296,3,53.83418462,0,5483.57533574000,9.41E-07,73.55177963,0.012887642,primary,5590,1,0.881926085
41,52.62439128,-4.006761872,18,145.45,0.38920602,0,0.551375195,2.147119875,8.345225739,4.446678775,8,71.05604567,5.948365335,2332.55593452000,4.76E-06,69.59912006,0.004937493,unclassified,3612,1,-0.000114238
42,52.15176885,-4.116408551,18,216.12,25.20991801,0.30623333,9.585432513,0,1.544337976,8.831374099,9,14.72224966,32.27962725,5314.81819356000,2.57E-06,50.73679407,0.028549386,primary,8082,1,9.01E-05
43,52.14465995,-4.111686631,18,225.99,24.28594691,0,0.622048526,0,0,23.14281062,4,51.84497639,0.104217554,4725.56575635000,1.20E-05,52.66235134,0.022970815,primary,8082,1,9.56E-05
44,51.8984528,-4.42863023,25,148.27,11.30094555,0.156504728,11.70198891,0,0,9.99347897,4,66.84708184,0,1665.44147720000,6.02E-06,18.31471472,0.017745545,unclassified,650,1,0.001654546
45,52.09189114,-3.193928432,18,279.44,15.45397288,1.4618623,11.66174959,0,0,8.37670302,4,63.0457122,0,3248.28487178000,8.42E-06,125.730252,0.01639028,tertiary,3522,1,0.000745859
46,52.08708245,-3.224450029,18,290.05,3.125204315,0.156914024,29.7286695,0,0,9.996730958,6,47.72801569,9.019287349,3988.82719581000,2.19E-06,122.5101967,0.023079156,unclassified,3522,1,0.000773125
47,53.26668695,-3.845680855,18,91.22,6.250204202,0,5.449733721,0,0,2.424282027,4,80.00784134,5.867938707,274.51656287200,2.87E-06,116.8514694,0.004900046,unclassified,5640,1,-0.000703366
48,53.28032201,-3.516278493,12,21.12,16.61859404,7.345049638,0.345452106,0,0,1.006171183,5,55.92299437,18.76173866,5548.31207942000,6.67E-06,137.7189051,0.00518241,primary,37746,1,0.00066668
49,52.65065788,-3.14848875,3,84.54,11.61471219,0,6.158667326,0,0,20.64984331,4,60.37935016,0,626.50901862500,1.11E-05,138.8692995,0.003637311,trunk,4843,1,-0.000353123
50,51.39772555,-3.435947255,12,16.75,13.68327927,11.03574822,2.100330941,0,0,4.705265572,6,48.69425604,19.60090435,2620.23883275000,8.80E-06,109.5364754,0.002407668,secondary,8298,1,-4.71E-05
51,52.94560403,-3.507655159,18,288.89,7.499344176,7.207502623,3.190582371,0,0.078698846,0.190188877,7,73.41946485,8.204354669,3020.15734462000,1.18E-05,106.8003742,0.010894133,trunk,5560,1,-1.37E-05
52,52.73297597,-4.045221218,18,104.32,18.70919981,2.012248469,1.150817686,0,1.248401642,7.137088633,8,27.79796756,39.82771384,4997.86304537000,1.23E-05,69.97162607,0.002297765,unclassified,3861,1,-0.001699216
53,52.33161069,-3.848309965,18,280.25,2.958439355,0,37.43850721,0,0,22.50381679,7,19.45716709,0,2529.38780321000,9.03E-06,71.33352135,0.005907331,unclassified,387,1,-0.000194525
