Record Date,Grid Reference,X,Y,Location,Vice County,Classification
23/02/2015,SH270810,227000,381000,Penrhos,52,Unverified
03/11/2015,SH452913,245200,391300,Penysarn,52,Unverified
03/07/2015,SH9577077118,295770,377118,Abergele,50,True polecat
03/09/2015,SJ2208969251,322089,369251,Northop,51,True polecat
15/03/2015,SO194993,319400,299300,Garthmyl,47,Unverified
15/03/2015,SS866798,286600,179800,Bridgend,41,True polecat
03/11/2015,SH45409111,245400,391110,Amlwch,52,True polecat
13/04/2014,SJ255528,325500,352800,Bwlchgwyn,50,Unverified
19/03/2015,SH6217,262000,317000,Barmouth,48,True polecat
20/03/2015,SH5554369665,255543,369665,Bangor,49,True polecat
15/03/2015,SJ219647,321900,364700,Gwernaffield,51,True polecat
23/03/2015,SN618830,261800,283000,Bow Street,46,True polecat
31/03/2015,SJ376519,337600,351900,Llan-y-Pwll,50,True polecat
31/03/2015,SH713005 ,271300,300500,Llugwy,48,Unverified
31/03/2015,SH713005 ,271300,300500,Llugwy,48,Unverified
29/03/2015,SJ1464454581 ,314644,354581,Graig fechan,50,True polecat
30/03/2015,SH8015973113,280159,373113,Graig,50,Unverified
04/12/2015,SN9837924417 ,298379,224417,Libanus,42,True polecat
04/04/2015,SJ224065,322400,306500,Welshpool,47,True polecat
04/10/2015,SJ2341,323000,341000,Llangollen,50,True polecat
04/08/2015,SH947368,294700,336800,Llanfor,48,True polecat
05/04/2015,SN950081,295000,208100,Penderyn,42,True polecat
05/10/2015,ST0567,305000,167000,Nurston,41,True polecat
05/09/2015,SN5848313687 ,258483,213687,Penygroes,44,True polecat
18/05/2015,SN692794,269200,279400,Aberffrwd,46,True polecat
22/05/2015,SN3843643982,238436,243982,Maesllyn,46,True polecat
23/05/2015,SH365765,236500,376500,Engedi,52,Unverified
19/05/2015,SH365766,236500,376600,Engedi,52,Unverified
14/05/2015,SH78586187,278580,361870,Treffriw,49,Unverified
05/02/2015,SJ079696,307900,369600,Bodfari,50,Unverified
23/05/2015,SM9449619836,194496,219836,Camrose,45,True polecat
15/06/2015,SN4457536118,244575,236118,Pencader,44,True polecat
15/06/2015,SO0876932012,308769,232012,Brecon,42,True polecat
17/06/2015,SN3353144419,233531,244419,Blaen-Cil-Llech,46,Unverified
19/06/2015,SN2958950235,229589,250235,Sarnau,46,Unverified
29/09/2014,SH902506   ,290200,350600,Glasfryn     ,50,Unverified
13/11/2014,SH7773438194,277734,338194,Cwm Prysor                                               ,48,Unverified
